epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.031,1.03418,2.03839,1.192,0.59509,0.57744,0.59107,0.40837,1.02203,1.54753,1.13388,0.000367989,0.000367989,0.000367989
2,266.76,1.04855,1.4118,1.18288,0.57715,0.54785,0.55023,0.374,1.09486,1.70388,1.21836,0.000713958,0.000713958,0.000713958
3,384.697,1.08874,1.32377,1.20634,0.50665,0.43607,0.44234,0.27441,1.24275,1.77561,1.34231,0.00103548,0.00103548,0.00103548
4,503.415,1.07929,1.239,1.19975,0.75173,0.52307,0.61847,0.42177,1.05817,1.22897,1.17225,0.00100101,0.00100101,0.00100101
5,623.519,1.03855,1.12737,1.18487,0.66868,0.58066,0.64212,0.45666,1.05497,1.19825,1.18264,0.000964348,0.000964348,0.000964348
6,741.513,1.01249,1.06089,1.16926,0.68894,0.6868,0.73287,0.53166,0.9636,0.99934,1.11883,0.000927685,0.000927685,0.000927685
7,857.515,0.99624,1.02368,1.15946,0.733,0.59828,0.68459,0.49668,0.97533,1.11317,1.09333,0.000891022,0.000891022,0.000891022
8,973.663,0.98664,0.97505,1.15102,0.76999,0.5726,0.67958,0.49138,0.94695,1.08708,1.12285,0.000854359,0.000854359,0.000854359
9,1090.93,0.9649,0.94159,1.14308,0.81189,0.67646,0.77561,0.5643,0.96197,0.90707,1.09931,0.000817696,0.000817696,0.000817696
10,1208.19,0.95511,0.91285,1.1386,0.87001,0.68309,0.80413,0.59327,0.92149,0.83318,1.06833,0.000781033,0.000781033,0.000781033
11,1325.37,0.95103,0.88556,1.13253,0.71305,0.64562,0.72332,0.52996,0.9157,0.99487,1.06831,0.00074437,0.00074437,0.00074437
12,1441.86,0.9338,0.86518,1.12626,0.76481,0.6776,0.77848,0.58923,0.9125,0.85517,1.07283,0.000707707,0.000707707,0.000707707
13,1558.7,0.92738,0.84082,1.1208,0.83725,0.66774,0.79162,0.58974,0.9291,0.86281,1.06699,0.000671044,0.000671044,0.000671044
14,1674.21,0.91705,0.82409,1.12014,0.83581,0.7251,0.82966,0.62188,0.88912,0.75073,1.05496,0.000634381,0.000634381,0.000634381
15,1789.72,0.90369,0.80013,1.11178,0.82463,0.71834,0.81133,0.62178,0.88525,0.73566,1.04267,0.000597718,0.000597718,0.000597718
16,1905.29,0.90394,0.79021,1.11219,0.89426,0.68329,0.82195,0.62669,0.87711,0.7273,1.04385,0.000561055,0.000561055,0.000561055
17,2019.35,0.88934,0.76744,1.10238,0.80279,0.79004,0.83858,0.64496,0.86317,0.72811,1.04349,0.000524392,0.000524392,0.000524392
18,2132.02,0.88092,0.73992,1.09717,0.88656,0.72218,0.83837,0.65092,0.84932,0.70415,1.03462,0.000487729,0.000487729,0.000487729
19,2246.77,0.87526,0.73522,1.09622,0.80176,0.74115,0.8291,0.64316,0.86932,0.73571,1.0315,0.000451066,0.000451066,0.000451066
20,2360.57,0.87303,0.72243,1.09303,0.85639,0.78386,0.86655,0.66856,0.85477,0.64666,1.0326,0.000414403,0.000414403,0.000414403
21,2480.3,0.8107,0.60431,1.04491,0.89663,0.72921,0.86333,0.66951,0.85444,0.65147,1.02765,0.00037774,0.00037774,0.00037774
22,2592.79,0.79523,0.57338,1.03756,0.8729,0.78404,0.87927,0.6901,0.83015,0.61261,1.02013,0.000341077,0.000341077,0.000341077
23,2706.25,0.79204,0.55109,1.03634,0.86868,0.80102,0.88585,0.69413,0.83371,0.60978,1.02312,0.000304414,0.000304414,0.000304414
24,2817.59,0.77966,0.53162,1.0303,0.86797,0.7981,0.88644,0.69774,0.8331,0.59116,1.02119,0.000267751,0.000267751,0.000267751
25,2930,0.7661,0.51458,1.02244,0.86957,0.8179,0.88322,0.69405,0.83058,0.57917,1.01731,0.000231088,0.000231088,0.000231088
26,3040.5,0.75821,0.49389,1.01555,0.89585,0.7857,0.8905,0.70474,0.82142,0.56866,1.00698,0.000194425,0.000194425,0.000194425
27,3154.79,0.75166,0.47514,1.01428,0.87287,0.83038,0.89936,0.71044,0.80979,0.56678,1.00328,0.000157762,0.000157762,0.000157762
28,3268.19,0.74095,0.46123,1.00935,0.88625,0.83091,0.89817,0.71332,0.81667,0.5486,1.00832,0.000121099,0.000121099,0.000121099
29,3379.6,0.73179,0.45009,1.00592,0.89697,0.81323,0.90459,0.71663,0.8096,0.54862,1.00333,8.4436e-05,8.4436e-05,8.4436e-05
30,3492.44,0.72565,0.43566,1.00048,0.87573,0.8287,0.90241,0.71346,0.80637,0.53902,0.99677,4.7773e-05,4.7773e-05,4.7773e-05
