epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5367,1.08735,3.22396,1.26134,0.00468,0.91798,0.18449,0.12629,0.92065,3.05149,1.05326,0.00021109,0.00021109,0.00021109
2,33.738,1.11796,2.2453,1.27525,0.39664,0.22787,0.1737,0.11823,1.09462,2.54931,1.18284,0.000418991,0.000418991,0.000418991
3,48.9392,1.14445,2.01836,1.29955,0.27513,0.41519,0.2573,0.18057,1.15777,2.41175,1.26242,0.000612228,0.000612228,0.000612228
4,64.1707,1.16528,1.92794,1.29497,0.35086,0.26558,0.23277,0.13191,1.33687,2.28137,1.40286,0.000790799,0.000790799,0.000790799
5,78.9987,1.1939,1.85656,1.3044,0.16923,0.29493,0.12626,0.0669,1.44326,3.41678,1.67367,0.000954705,0.000954705,0.000954705
6,94.5593,1.2361,1.85616,1.31702,0.30187,0.3574,0.2758,0.16452,1.33933,2.18565,1.44887,0.000927685,0.000927685,0.000927685
7,109.551,1.15986,1.70492,1.27986,0.30026,0.2716,0.1786,0.10072,1.36254,3.15174,1.5132,0.000891022,0.000891022,0.000891022
8,124.173,1.18078,1.70317,1.28531,0.32232,0.34046,0.28234,0.17474,1.23111,2.07695,1.29083,0.000854359,0.000854359,0.000854359
9,139.64,1.09986,1.57945,1.24013,0.42416,0.50718,0.439,0.28261,1.20435,1.88543,1.31211,0.000817696,0.000817696,0.000817696
10,154.701,1.12291,1.56074,1.25236,0.4733,0.49384,0.45112,0.28342,1.16137,1.73594,1.2651,0.000781033,0.000781033,0.000781033
11,169.81,1.10989,1.49769,1.2384,0.54251,0.51148,0.53022,0.35907,1.09155,1.39689,1.22188,0.00074437,0.00074437,0.00074437
12,184.923,1.08006,1.43786,1.21935,0.48387,0.56471,0.51604,0.34975,1.08673,1.47311,1.20243,0.000707707,0.000707707,0.000707707
13,199.444,1.07191,1.37331,1.22308,0.45175,0.34607,0.2978,0.17136,1.35418,2.18882,1.5552,0.000671044,0.000671044,0.000671044
14,214.238,1.06312,1.33093,1.21255,0.49945,0.52201,0.49829,0.3283,1.12446,1.49841,1.25633,0.000634381,0.000634381,0.000634381
15,229.177,1.07861,1.3233,1.21728,0.65016,0.57792,0.63599,0.43861,1.07469,1.25713,1.18552,0.000597718,0.000597718,0.000597718
16,244.206,1.04925,1.28402,1.20024,0.61128,0.51415,0.55298,0.38969,1.04211,1.44265,1.16758,0.000561055,0.000561055,0.000561055
17,259.365,1.04658,1.24246,1.19188,0.70134,0.60289,0.65137,0.45026,1.03671,1.18078,1.15444,0.000524392,0.000524392,0.000524392
18,274.144,0.99423,1.16794,1.17331,0.66755,0.63252,0.66852,0.47972,1.01556,1.13273,1.14374,0.000487729,0.000487729,0.000487729
19,289.536,0.98454,1.1077,1.15906,0.73363,0.56608,0.63825,0.4398,1.01587,1.19679,1.16094,0.000451066,0.000451066,0.000451066
20,303.899,0.98763,1.09101,1.17803,0.76422,0.57749,0.67712,0.47897,0.9961,1.11397,1.1565,0.000414403,0.000414403,0.000414403
21,323.749,0.94061,1.09999,1.13615,0.64172,0.5577,0.62302,0.45189,0.97487,1.27553,1.10955,0.00037774,0.00037774,0.00037774
22,337.902,0.91644,0.98889,1.12087,0.64796,0.63831,0.65298,0.47114,0.95667,1.1884,1.10186,0.000341077,0.000341077,0.000341077
23,353.06,0.8992,0.91541,1.11827,0.73432,0.64167,0.7255,0.53271,0.94803,1.05672,1.09074,0.000304414,0.000304414,0.000304414
24,367.644,0.88615,0.8582,1.10038,0.7204,0.66276,0.71295,0.52458,0.97879,1.08213,1.10855,0.000267751,0.000267751,0.000267751
25,382.774,0.85832,0.82006,1.08136,0.70392,0.66989,0.72012,0.52443,0.96004,1.05512,1.10264,0.000231088,0.000231088,0.000231088
26,397.303,0.84695,0.79092,1.07698,0.75173,0.66569,0.73132,0.54148,0.94082,0.98717,1.08448,0.000194425,0.000194425,0.000194425
27,411.76,0.82937,0.74968,1.06335,0.75416,0.67607,0.74026,0.54868,0.92078,0.96712,1.08393,0.000157762,0.000157762,0.000157762
28,426.538,0.81394,0.72279,1.05229,0.72902,0.68902,0.74372,0.55507,0.93152,0.9651,1.08382,0.000121099,0.000121099,0.000121099
29,440.821,0.79561,0.68216,1.04007,0.70107,0.69761,0.73765,0.55003,0.91335,0.99551,1.08003,8.4436e-05,8.4436e-05,8.4436e-05
30,455.189,0.7836,0.67696,1.03785,0.76027,0.69159,0.75706,0.56798,0.91218,0.92911,1.07684,4.7773e-05,4.7773e-05,4.7773e-05
