strategy,seed,round,n_labeled,frac,val_mAP50,test_mAP50,test_mAP50_95,AP_cardboard,AP_paper,AP_glass,AP_metal,AP_plastic,nlab_cardboard,nlab_paper,nlab_glass,nlab_metal,nlab_plastic,picks_sha,train_s
ppal,13,0,505,0.05,0.6944310875298714,0.7532141447794709,0.5499404863389167,0.4838736933695692,0.5556269661483559,0.6668761084998391,0.4609780714757739,0.5823475922010451,21,69,92,77,253,95a4ded40c4f6c26,543.1221075057983
ppal,13,1,757,0.075,0.7544241041846749,0.7902069820564572,0.5852308878491924,0.6095617902355694,0.5671589978014666,0.6780257117772015,0.4447986696868435,0.6266092697448811,41,107,131,113,397,96b616fe016475ee,503.70456981658936
ppal,13,2,1010,0.1,0.7516369752973441,0.8093728217404594,0.5919992264399199,0.5780805513417422,0.5623025141647133,0.7000248583429933,0.4725939823166194,0.6469942260335311,54,139,167,143,558,704eb79521e0e5af,582.0046854019165
ppal,13,3,1262,0.125,0.7967630054049176,0.8408325961971673,0.6294562876836253,0.6103386050629491,0.6160532886425196,0.7460422551903958,0.5049109783222187,0.669936311200044,70,176,200,174,713,76c09e8d48d4c606,702.512289762497
ppal,13,4,1515,0.15,0.8021863467953769,0.8515357857601209,0.6487415005546064,0.6539525613902473,0.6227074242759353,0.769114524195251,0.5197635992982604,0.6781693936133384,77,224,228,215,857,6018259998c3868c,826.1290571689606
ppal,13,5,1767,0.175,0.8079980177321696,0.8634927987640234,0.6549671478930388,0.6285269020438903,0.6574095366545551,0.771239605273075,0.5110212603668625,0.7066384351268109,94,263,277,234,1001,cd805c25f15aed42,950.3763742446899
ppal,13,6,2020,0.2,0.832622067129309,0.8828924162498089,0.6809178984421158,0.6694291146402906,0.6755232404486079,0.8048520019503392,0.5412806784250425,0.713504456746299,105,302,316,264,1146,9cee8e7e26bd14d0,1058.9382364749908
ppal,42,0,505,0.05,0.6703649520263113,0.7322260560457202,0.5306681974395516,0.5852697367274494,0.5164047921505612,0.5987755068879423,0.366760306842412,0.586130644589393,27,63,86,82,261,eff935a37367753a,442.66149044036865
ppal,42,1,757,0.075,0.7095154724922631,0.7912000132636474,0.5880390280185862,0.5986426666520249,0.5778212153196696,0.6929000107796488,0.4342878619504492,0.6365433853911382,43,110,121,110,415,01424845f8d36575,490.19083189964294
ppal,42,2,1010,0.1,0.7629432342483516,0.8379609472973606,0.62836312873706,0.6582304015241187,0.6203040784358607,0.7159746403076233,0.4896748838984447,0.657631639519253,69,154,156,155,543,3c079d98278ccb79,568.1740567684174
ppal,42,3,1262,0.125,0.7933551731786519,0.8341484620762518,0.6318461441195756,0.6391518804485321,0.6071852783619666,0.7314579548158193,0.515692930904739,0.6657426760668208,85,184,199,189,677,80baf35a2c509a88,668.1502177715302
ppal,42,4,1515,0.15,0.8186910883769762,0.873493312978203,0.6590056804145358,0.6863514113710207,0.640221491991526,0.7628724174479365,0.526504972374345,0.6790781088878505,97,231,243,220,803,5bdd1f9f07ad03a6,797.5669984817505
ppal,42,5,1767,0.175,0.8356901862900725,0.8647451974309142,0.65187699946006,0.6369542484910944,0.6622483277352444,0.7468502365859692,0.5319405372005208,0.6813916472874717,112,267,290,251,935,ee352241ed6fa490,908.998948097229
ppal,42,6,2020,0.2,0.8489699956554466,0.89989777065189,0.687738148353915,0.7009619972014955,0.6861785933405664,0.8032700493678373,0.5443794716847947,0.703900630174881,126,317,334,284,1055,f79c24df3da82556,1041.7821960449219
ppal,1337,0,505,0.05,0.6921568196035632,0.7652681014509739,0.5723520572029117,0.6048018445056129,0.5635929057427583,0.650340883401485,0.4262640365050322,0.6167606158596699,29,68,80,82,256,2223089721c347f2,436.49296021461487
ppal,1337,1,757,0.075,0.7179435870408606,0.7689380632337084,0.5760229659106116,0.5725929131522044,0.5399336868193727,0.7034823920980988,0.4334863373156198,0.6306195001677625,50,105,121,106,409,4fde33340a9cfba7,503.17045044898987
ppal,1337,2,1010,0.1,0.751695039553703,0.8071279827213939,0.6116538028247474,0.6173574443715073,0.590267616163843,0.7268766751464917,0.4672269763842708,0.656540302057624,62,138,175,140,548,20bacc3e87da2d25,595.8013432025909
ppal,1337,3,1262,0.125,0.7708562573289088,0.8167454313562759,0.6123380713092514,0.6204073885161363,0.6088831251083853,0.7324621826439417,0.4391262831902087,0.660811377087585,80,180,216,167,694,8f8ee6bd61bc12f6,736.4110426902771
ppal,1337,4,1515,0.15,0.7908154786863506,0.8505199501078039,0.6461041939874044,0.650610031698697,0.6368235890865885,0.7856032702845744,0.4797688985910254,0.677715180276136,94,230,249,202,824,198cd9f7b73ad696,854.1638288497925
ppal,1337,5,1767,0.175,0.8224148766795863,0.8650186713941872,0.6624831704686539,0.6792476175916834,0.6627411736141753,0.7665464503825297,0.5147297093050989,0.6891509014497821,107,268,287,244,949,1c36369c392ac200,974.4262492656708
ppal,1337,6,2020,0.2,0.8298262859882215,0.8705523496303297,0.6643344808157216,0.6557861272037802,0.6281953071031668,0.8038043638866637,0.5328761330287843,0.7010104728562123,119,315,320,291,1067,9b2ba93d0ab4b3af,1123.1497724056244
