epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2452,1.1854,3.07197,1.26372,0.73752,0.03404,0.19997,0.13656,0.9572,2.86676,1.04563,0.00029997,0.00029997,0.00029997
2,67.7709,1.19404,2.18902,1.28565,0.28387,0.39536,0.26253,0.15305,1.30263,2.45814,1.39828,0.000590885,0.000590885,0.000590885
3,97.4917,1.23926,2.04434,1.28805,0.19996,0.32673,0.16701,0.08342,1.40559,2.67832,1.45621,0.000861269,0.000861269,0.000861269
4,127.554,1.289,2.00075,1.32109,0.19789,0.49365,0.18036,0.09793,1.37763,6.01341,1.52117,0.00100101,0.00100101,0.00100101
5,158.187,1.27968,1.90143,1.31759,0.19042,0.25865,0.12092,0.05722,1.65828,3.58021,1.86839,0.000964348,0.000964348,0.000964348
6,188.265,1.24985,1.83832,1.3034,0.32014,0.42861,0.31065,0.17922,1.31247,2.03194,1.39994,0.000927685,0.000927685,0.000927685
7,218.837,1.22676,1.726,1.27757,0.43131,0.48768,0.4179,0.25349,1.1583,1.82006,1.29403,0.000891022,0.000891022,0.000891022
8,249.653,1.17236,1.64827,1.26488,0.44122,0.51779,0.47693,0.30499,1.23371,1.69339,1.37677,0.000854359,0.000854359,0.000854359
9,280.185,1.18476,1.59163,1.25784,0.40235,0.46998,0.35773,0.2223,1.27075,3.34211,1.34913,0.000817696,0.000817696,0.000817696
10,309.728,1.17858,1.58266,1.2581,0.51116,0.54431,0.51174,0.32729,1.15697,1.52245,1.27178,0.000781033,0.000781033,0.000781033
11,341.62,1.15095,1.52702,1.23157,0.58809,0.58404,0.60864,0.41793,1.05622,1.38628,1.17536,0.00074437,0.00074437,0.00074437
12,371.573,1.15653,1.46691,1.23549,0.64464,0.54852,0.62427,0.42609,1.06714,1.3435,1.18365,0.000707707,0.000707707,0.000707707
13,402.103,1.11639,1.40686,1.21716,0.58712,0.60237,0.63082,0.41259,1.17856,1.26333,1.28392,0.000671044,0.000671044,0.000671044
14,432.745,1.10065,1.3783,1.20904,0.57439,0.60599,0.59312,0.41829,1.04334,1.2893,1.15612,0.000634381,0.000634381,0.000634381
15,462.949,1.09947,1.30566,1.20297,0.68433,0.64296,0.69205,0.49333,1.00352,1.10374,1.12889,0.000597718,0.000597718,0.000597718
16,493.813,1.07354,1.27886,1.1927,0.72613,0.65461,0.70604,0.51038,0.99875,1.0788,1.12592,0.000561055,0.000561055,0.000561055
17,523.72,1.0783,1.22661,1.18317,0.72783,0.61932,0.70405,0.49982,0.99812,1.10036,1.13031,0.000524392,0.000524392,0.000524392
18,553.635,1.03994,1.1802,1.18266,0.79065,0.63071,0.74486,0.53817,1.0048,1.06319,1.13929,0.000487729,0.000487729,0.000487729
19,583.236,1.04378,1.18521,1.19056,0.76982,0.65097,0.74453,0.52551,0.96642,0.99861,1.10763,0.000451066,0.000451066,0.000451066
20,613.452,1.02949,1.16132,1.16771,0.74755,0.71945,0.77177,0.56789,0.95951,0.96717,1.09232,0.000414403,0.000414403,0.000414403
21,650.627,0.97311,1.05118,1.11881,0.71755,0.60746,0.69374,0.50581,0.99925,1.11598,1.11838,0.00037774,0.00037774,0.00037774
22,680.7,0.96611,0.99562,1.12554,0.75398,0.63508,0.74664,0.55283,0.95209,1.04587,1.093,0.000341077,0.000341077,0.000341077
23,711.07,0.95257,0.94862,1.11064,0.73683,0.73415,0.77733,0.57297,0.93387,0.92504,1.09168,0.000304414,0.000304414,0.000304414
24,740.028,0.92298,0.89485,1.09271,0.78196,0.7179,0.78944,0.56734,0.94962,0.95123,1.09803,0.000267751,0.000267751,0.000267751
25,770.531,0.90708,0.84219,1.08557,0.79889,0.68344,0.78639,0.57885,0.91667,0.91455,1.08354,0.000231088,0.000231088,0.000231088
26,801.185,0.89127,0.814,1.07381,0.82786,0.67929,0.79224,0.59381,0.9333,0.86624,1.08918,0.000194425,0.000194425,0.000194425
27,831.175,0.88061,0.78682,1.07895,0.79783,0.71596,0.81,0.60314,0.91068,0.83996,1.0725,0.000157762,0.000157762,0.000157762
28,862.017,0.85792,0.73123,1.05534,0.80549,0.72328,0.80581,0.61274,0.90087,0.82066,1.06939,0.000121099,0.000121099,0.000121099
29,891.796,0.84861,0.71997,1.05959,0.82646,0.72822,0.8178,0.62151,0.89587,0.79884,1.06193,8.4436e-05,8.4436e-05,8.4436e-05
30,921.089,0.83414,0.69249,1.04003,0.84363,0.72468,0.82423,0.62627,0.89235,0.79724,1.06176,4.7773e-05,4.7773e-05,4.7773e-05
