strategy,seed,round,n_labeled,frac,val_mAP50,test_mAP50,test_mAP50_95,AP_cardboard,AP_paper,AP_glass,AP_metal,AP_plastic,nlab_cardboard,nlab_paper,nlab_glass,nlab_metal,nlab_plastic,picks_sha,train_s
random,13,0,505,0.05,0.6944310875298714,0.7532141447794709,0.5499404863389167,0.4838736933695692,0.5556269661483559,0.6668761084998391,0.4609780714757739,0.5823475922010451,21,69,92,77,253,95a4ded40c4f6c26,426.20477199554443
random,13,1,757,0.075,0.7392709361782384,0.8065673440950969,0.6032354953044095,0.5812762480594577,0.5795653535810761,0.71952016221736,0.49183853494466145,0.6439771777194923,24,100,144,131,369,aad305167843fdfc,445.91737127304077
random,13,2,1010,0.1,0.7603385558665924,0.8140519045377468,0.6165937119079336,0.5915916926917536,0.5918738895666006,0.723545022987188,0.5164708074652389,0.6594871468288861,32,139,180,188,483,2b24e4b1eedb0d88,499.05538058280945
random,13,3,1262,0.125,0.7959287294344763,0.843911265333103,0.6395376359655736,0.6123205846242815,0.6358012321745663,0.7529838899819291,0.5267588259226944,0.6698236471243967,41,170,220,226,621,4d9bd52511ad6763,576.1956522464752
random,13,4,1515,0.15,0.8055282350884184,0.8514763653826647,0.6575316880464921,0.6733979096304405,0.6473051160081031,0.7629430684113055,0.5241545911354066,0.6798577550472047,48,208,262,269,746,8f94d07ab68255c7,648.2884857654572
random,13,5,1767,0.175,0.799564670863185,0.8528373446838948,0.6596717590587617,0.6566330818969183,0.6402356549798572,0.7926204101069497,0.5275627885953172,0.6813068597147668,52,245,299,311,881,9c4e664a74e933ad,724.7771830558777
random,13,6,2020,0.2,0.805827277767093,0.8695093509022153,0.6719263583804918,0.6777232320891854,0.6714337076224065,0.7735028523402376,0.5445915137166124,0.6923804861340165,63,275,345,359,1003,a3b472cdc119ab89,792.158860206604
random,42,0,505,0.05,0.6703649520263113,0.7322260560457202,0.5306681974395516,0.5852697367274494,0.5164047921505612,0.5987755068879423,0.366760306842412,0.586130644589393,27,63,86,82,261,eff935a37367753a,398.7805154323578
random,42,1,757,0.075,0.7473886727797032,0.7999847622195972,0.5867836257106472,0.6184906877554156,0.5842868966959947,0.6698730451041938,0.4218264696800983,0.639441029317534,43,99,133,121,381,3ae03bba600b5b8f,435.17441177368164
random,42,2,1010,0.1,0.7629366458948672,0.8170858345083714,0.611157094809135,0.6247813238280118,0.5827058365325837,0.7295777612475705,0.4563312676605499,0.6623892847769598,48,128,194,166,496,3cd82da36b923979,483.8480839729309
random,42,3,1262,0.125,0.784078689635823,0.8133504817440024,0.6121807484526404,0.6047934916443751,0.5916455096456298,0.7227847311850804,0.48354640822707384,0.6581336015610424,55,164,244,208,617,d858430b455cf9bd,621.8645825386047
random,42,4,1515,0.15,0.779469156118157,0.8260311462585517,0.6244610127327498,0.5930041491075287,0.6096579257723822,0.7398129782204325,0.5077591160860473,0.6720708944773582,64,191,288,267,734,71745029e7c3715c,708.5566835403442
random,42,5,1767,0.175,0.8104011047298476,0.8519475414131253,0.6465276547759156,0.5896623181144224,0.6357574507945613,0.7772187610442087,0.5363910524396018,0.693608691486784,71,221,338,318,849,41f47860b6da9993,757.9405026435852
random,42,6,2020,0.2,0.8288663698931658,0.8751365032825007,0.670620996368745,0.698789052147607,0.6328214128756513,0.7862672653682069,0.5405590431951606,0.6946682082570993,83,248,376,364,984,b5c695db641de3e9,804.9184293746948
random,1337,0,505,0.05,0.6921568196035632,0.7652681014509739,0.5723520572029117,0.6048018445056129,0.5635929057427583,0.650340883401485,0.4262640365050322,0.6167606158596699,29,68,80,82,256,2223089721c347f2,418.9142920970917
random,1337,1,757,0.075,0.7150161741253956,0.7881942709329681,0.5973228800762747,0.5922568500656438,0.6180563764154214,0.7001528171752673,0.44486331206675295,0.6312850446582874,44,106,119,129,372,264309b0780a4abb,453.9419295787811
random,1337,2,1010,0.1,0.7466946380892372,0.8050965414730639,0.6141688927415048,0.5931544319441329,0.6232971412057136,0.7148242793102675,0.48483316744243277,0.6547354438049775,51,143,164,171,499,f89cded99f05116e,509.3660891056061
random,1337,3,1262,0.125,0.7738712531787452,0.8240927104682779,0.6334630438312963,0.5993605907719902,0.6362760135888457,0.7521460253056588,0.5027377611720006,0.6767948283179857,67,179,207,218,617,4790fef141013e79,633.316659450531
random,1337,4,1515,0.15,0.7907602613326788,0.8303713970210043,0.6326776443088452,0.585672513224256,0.6565168077819135,0.7499376371599459,0.49710363805536684,0.674157625322744,78,213,249,266,738,2ba512e2780f439a,717.144636631012
random,1337,5,1767,0.175,0.7952918071254617,0.8573308513925388,0.6609509603996329,0.6519954759855,0.6527209919192488,0.7881172643020242,0.5206697768146582,0.6912512929767323,86,250,299,316,846,48b7256b927c2f82,791.055178642273
random,1337,6,2020,0.2,0.8312175215607589,0.8615326720595764,0.665257977262262,0.6769383186767153,0.6558824068845033,0.7709574913325059,0.5291996216463076,0.6933120477712778,93,293,346,357,966,df4de71ee6b1d393,865.2910296916962
