epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8056,1.09623,2.93754,1.23187,0.0043,0.92578,0.23222,0.16337,0.92089,2.89655,1.04385,0.00025553,0.00025553,0.00025553
2,44.8674,1.07382,1.87546,1.20777,0.45827,0.23962,0.22249,0.13646,1.17385,2.87426,1.33487,0.000504938,0.000504938,0.000504938
3,64.6488,1.08405,1.67798,1.19907,0.28346,0.43658,0.33169,0.21611,1.16887,2.18207,1.2894,0.000736749,0.000736749,0.000736749
4,84.2778,1.13264,1.64537,1.2342,0.12989,0.38407,0.11229,0.05402,1.69816,4.28317,1.855,0.00095096,0.00095096,0.00095096
5,105.126,1.11414,1.61014,1.22454,0.39435,0.28856,0.18372,0.08033,1.82259,3.15081,2.37837,0.000964348,0.000964348,0.000964348
6,124.932,1.10369,1.5123,1.22486,0.36177,0.42819,0.33675,0.17988,1.54247,3.61525,1.8953,0.000927685,0.000927685,0.000927685
7,144.77,1.10954,1.46073,1.22188,0.3716,0.28801,0.19175,0.0982,1.52292,2.99357,1.78075,0.000891022,0.000891022,0.000891022
8,164.737,1.06884,1.34444,1.17887,0.44158,0.46377,0.43383,0.26239,1.22803,1.88938,1.35931,0.000854359,0.000854359,0.000854359
9,184.9,1.06843,1.28023,1.18846,0.65892,0.43013,0.48016,0.31508,1.20697,1.79369,1.28634,0.000817696,0.000817696,0.000817696
10,204.96,1.01188,1.20292,1.16898,0.57676,0.51494,0.52088,0.3513,1.16168,1.72543,1.25796,0.000781033,0.000781033,0.000781033
11,224.629,1.03832,1.19732,1.17929,0.63197,0.53865,0.56386,0.38798,1.08756,1.49156,1.19318,0.00074437,0.00074437,0.00074437
12,244.302,1.0139,1.10255,1.16228,0.66708,0.62811,0.65209,0.46771,1.0267,1.21223,1.14281,0.000707707,0.000707707,0.000707707
13,263.915,0.97732,1.06847,1.14284,0.48673,0.57087,0.47054,0.33123,1.07766,1.55633,1.18394,0.000671044,0.000671044,0.000671044
14,283.97,0.97008,1.03649,1.1435,0.65193,0.63887,0.68057,0.48274,1.01808,1.12081,1.15914,0.000634381,0.000634381,0.000634381
15,303.805,0.96401,0.97517,1.13338,0.65801,0.54972,0.58602,0.43101,0.99335,1.36431,1.13008,0.000597718,0.000597718,0.000597718
16,324.266,0.96708,0.97511,1.13143,0.75877,0.64051,0.6955,0.49985,0.98862,1.0941,1.12413,0.000561055,0.000561055,0.000561055
17,343.681,0.9503,0.9474,1.13192,0.75469,0.65311,0.71688,0.52175,1.01228,1.05308,1.12933,0.000524392,0.000524392,0.000524392
18,364.115,0.90943,0.89916,1.11522,0.78287,0.63524,0.71409,0.53189,0.98122,1.02626,1.11937,0.000487729,0.000487729,0.000487729
19,384.093,0.90775,0.87973,1.11513,0.7772,0.65183,0.73533,0.54161,0.98171,1.02484,1.11581,0.000451066,0.000451066,0.000451066
20,403.583,0.90074,0.82574,1.09636,0.68637,0.67467,0.694,0.51302,0.96405,1.03744,1.10541,0.000414403,0.000414403,0.000414403
21,428.579,0.82676,0.77333,1.04951,0.69494,0.54733,0.61797,0.44701,0.98591,1.31887,1.10824,0.00037774,0.00037774,0.00037774
22,448.415,0.81578,0.71562,1.03541,0.62697,0.63641,0.65432,0.48212,0.93982,1.10919,1.09748,0.000341077,0.000341077,0.000341077
23,467.487,0.81415,0.65806,1.04108,0.75355,0.65748,0.72591,0.53842,0.94057,0.9636,1.10128,0.000304414,0.000304414,0.000304414
24,487.369,0.79154,0.63124,1.02905,0.80485,0.69448,0.78721,0.58869,0.9385,0.88846,1.10394,0.000267751,0.000267751,0.000267751
25,506.295,0.76889,0.60998,1.01998,0.7592,0.68496,0.75466,0.5625,0.91972,0.95004,1.09365,0.000231088,0.000231088,0.000231088
26,525.827,0.74868,0.56013,1.0086,0.8274,0.64782,0.75083,0.57366,0.90288,0.92365,1.07491,0.000194425,0.000194425,0.000194425
27,545.181,0.72176,0.5407,0.99867,0.84213,0.70151,0.78868,0.60716,0.90484,0.84437,1.06483,0.000157762,0.000157762,0.000157762
28,564.739,0.71876,0.52143,0.99187,0.85228,0.67344,0.7727,0.58921,0.90483,0.8686,1.07283,0.000121099,0.000121099,0.000121099
29,583.51,0.71081,0.51224,0.98257,0.85259,0.67636,0.78851,0.60377,0.89501,0.83494,1.06408,8.4436e-05,8.4436e-05,8.4436e-05
30,602.83,0.70445,0.4904,0.98849,0.85339,0.71908,0.8057,0.62047,0.89994,0.80544,1.06645,4.7773e-05,4.7773e-05,4.7773e-05
