strategy,seed,round,n_labeled,frac,val_mAP50,test_mAP50,test_mAP50_95,AP_cardboard,AP_paper,AP_glass,AP_metal,AP_plastic,nlab_cardboard,nlab_paper,nlab_glass,nlab_metal,nlab_plastic,picks_sha,train_s
uncertainty,13,0,505,0.05,0.6944310875298714,0.7532141447794709,0.5499404863389167,0.4838736933695692,0.5556269661483559,0.6668761084998391,0.4609780714757739,0.5823475922010451,21,69,92,77,253,95a4ded40c4f6c26,457.50948214530945
uncertainty,13,1,757,0.075,0.7443988941242246,0.8054058792314358,0.5951813127272306,0.5680513833284837,0.5801007848876579,0.7096541894696085,0.4741954954212685,0.6439047105291347,36,104,141,114,381,8bfdec08118470ec,430.24140310287476
uncertainty,13,2,1010,0.1,0.782124407500447,0.8375828863641808,0.6287803571216273,0.6476617203192268,0.590467579000955,0.7332382630959917,0.5097401483208844,0.6627940748710781,61,153,182,159,488,09ae06daa88d6a4b,494.04568696022034
uncertainty,13,3,1262,0.125,0.794268088908107,0.8325651832037118,0.6316931150079003,0.6066972726896976,0.608762720782112,0.7361159771073422,0.5243395896681738,0.6825500147921763,78,196,215,211,606,2d568f86c1f2244c,624.3210637569427
uncertainty,13,4,1515,0.15,0.8246403659170607,0.8497280821439895,0.6498235939335725,0.6426447781600603,0.63551800724557,0.768215885410032,0.5114335490910624,0.6913057497611377,88,243,266,249,726,b2963765e8f47264,734.1251800060272
uncertainty,13,5,1767,0.175,0.8348083973679359,0.8687802712245146,0.6615632574185122,0.6515859178001914,0.6494640878908434,0.7822618817430328,0.5323608377200165,0.6921435619384766,105,285,302,282,870,2c0d3fab02920450,821.735657453537
uncertainty,13,6,2020,0.2,0.8329767996536717,0.8663434731739892,0.6626357855937759,0.6490367407050371,0.6439902684284349,0.7802169434644678,0.536486233119682,0.703448742251257,118,342,321,308,1016,d95b5b566ffa8208,960.7052547931671
uncertainty,42,0,505,0.05,0.6703649520263113,0.7322260560457202,0.5306681974395516,0.5852697367274494,0.5164047921505612,0.5987755068879423,0.366760306842412,0.586130644589393,27,63,86,82,261,eff935a37367753a,391.7493727207184
uncertainty,42,1,757,0.075,0.6957783907161942,0.7857983104801024,0.5859313254727088,0.5534554066216508,0.5780595602537868,0.6951326986176966,0.46687371284036916,0.6361352490300404,43,108,129,145,354,38f4bcd1ddd6926c,427.20394802093506
uncertainty,42,2,1010,0.1,0.7839953901737204,0.8377772326022643,0.6236557462428393,0.6053523849899658,0.626285057314975,0.7468683610249666,0.47620079653131303,0.6635721313529765,57,156,166,196,470,ad2e2cc70dc81175,472.30853366851807
uncertainty,42,3,1262,0.125,0.8073559738488261,0.8617868710523482,0.651863490205783,0.6714986635351781,0.6403658885709028,0.755833731971283,0.5210296901594551,0.6705894767920968,72,209,204,244,581,82fb32981acff52c,559.3952627182007
uncertainty,42,4,1515,0.15,0.833694476341838,0.8647381535662069,0.6568437988886933,0.659349356091018,0.6515566014225013,0.7814716634529243,0.5180033410177409,0.6738380324592821,88,264,238,290,694,1e3836bb08e91021,670.0139400959015
uncertainty,42,5,1767,0.175,0.8365275408642813,0.8689870249396092,0.6673718574197706,0.6592050622301906,0.6583303738339662,0.7852351730240007,0.545160098870332,0.6889285791403632,104,310,285,332,806,833d9f508a671862,780.8243315219879
uncertainty,42,6,2020,0.2,0.832418269929688,0.8767701983683536,0.6760268685161236,0.6812852188601091,0.6649974592503323,0.8102664483280082,0.5260500645785945,0.6975351515635737,117,351,323,364,943,98333d93501b91ec,1010.1057932376862
uncertainty,1337,0,505,0.05,0.6921568196035632,0.7652681014509739,0.5723520572029117,0.6048018445056129,0.5635929057427583,0.650340883401485,0.4262640365050322,0.6167606158596699,29,68,80,82,256,2223089721c347f2,424.2645936012268
uncertainty,1337,1,757,0.075,0.7270007238538743,0.7794423449143137,0.5803397279236241,0.5410940618029108,0.5874718369975478,0.6787269290585253,0.4553556012078569,0.63905021055128,48,112,120,119,381,3412f45aadb52679,458.89797735214233
uncertainty,1337,2,1010,0.1,0.7637070081714772,0.836126585104535,0.6283322570566958,0.6463373228124217,0.6389075762709202,0.7283999278891854,0.4692106900781711,0.6588057682327804,57,164,172,158,492,96be244f4b9e2141,545.0303282737732
uncertainty,1337,3,1262,0.125,0.7926433187102002,0.8199873002263296,0.6206206071156981,0.5316340267973417,0.6166331753057338,0.766003671568538,0.5082168879527881,0.6806152739540888,80,208,226,197,611,517ddc50cc741c5b,678.967182636261
uncertainty,1337,4,1515,0.15,0.822290826548428,0.8478397259897724,0.6397569418282995,0.6218936775002389,0.6306412011861379,0.746442842756068,0.5228134647261585,0.6769935229728941,100,258,261,227,741,eb2d3fc7c23b10cd,849.117133140564
uncertainty,1337,5,1767,0.175,0.8167672155514367,0.8623130031683187,0.6589713902281676,0.6688782984417159,0.6300505735217196,0.7698959441875131,0.5418486304299203,0.6841835045599695,119,304,300,264,866,9f6560e6226c7ffe,947.498085975647
uncertainty,1337,6,2020,0.2,0.8204788620868557,0.8721152707414358,0.6608019653470785,0.6435236209720354,0.6533726758768845,0.7755767535222255,0.5382199413256402,0.6933168350386059,131,369,327,296,996,2495e6daf26bd313,1082.690826177597
