epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.762,1.04748,3.47377,1.23092,0.00335,0.85845,0.11674,0.07745,0.8596,3.40432,1.04057,7.777e-05,7.777e-05,7.777e-05
2,26.7032,0.98144,3.15564,1.17828,0.00406,0.89343,0.1891,0.13443,0.80441,3.31109,0.98904,0.000161151,0.000161151,0.000161151
3,39.3248,0.96524,2.52658,1.15873,0.34533,0.10189,0.18387,0.1323,0.91934,2.99818,1.0529,0.000238665,0.000238665,0.000238665
4,51.9651,0.97379,2.08609,1.18217,0.5528,0.02912,0.18581,0.13142,0.9647,2.90661,1.09196,0.000310313,0.000310313,0.000310313
5,64.4695,1.00933,1.92693,1.19868,0.40456,0.17953,0.2443,0.16465,1.02041,2.62274,1.13036,0.000376096,0.000376096,0.000376096
6,76.6273,0.95006,1.73944,1.17396,0.362,0.2451,0.27571,0.18673,1.038,2.39968,1.13242,0.000436012,0.000436012,0.000436012
7,88.8722,0.95774,1.64371,1.16067,0.59702,0.30563,0.3447,0.24626,1.10242,2.55878,1.24271,0.000490062,0.000490062,0.000490062
8,101.28,1.01544,1.66184,1.2172,0.5024,0.16348,0.19948,0.12313,1.33312,2.98592,1.55402,0.000538246,0.000538246,0.000538246
9,113.048,0.96321,1.51605,1.15232,0.35716,0.15668,0.17882,0.10723,1.34065,3.00466,1.5893,0.000580564,0.000580564,0.000580564
10,125.014,0.98538,1.45748,1.17446,0.37952,0.29035,0.24546,0.16554,1.31705,2.96376,1.54711,0.000617016,0.000617016,0.000617016
11,137.313,0.98296,1.44367,1.16676,0.32427,0.39337,0.2874,0.19909,1.25386,2.72302,1.42148,0.000647602,0.000647602,0.000647602
12,148.527,0.97986,1.47906,1.1652,0.34215,0.36013,0.30349,0.2095,1.13395,2.1721,1.28849,0.000672322,0.000672322,0.000672322
13,160.728,0.9677,1.33364,1.16414,0.39559,0.37622,0.3516,0.24378,1.19943,2.17221,1.39395,0.000671044,0.000671044,0.000671044
14,172.641,0.97094,1.3073,1.16138,0.41532,0.35764,0.30962,0.18722,1.25302,2.36502,1.36441,0.000634381,0.000634381,0.000634381
15,184.632,0.93999,1.23525,1.14428,0.58213,0.37477,0.35476,0.23683,1.15914,2.15664,1.28367,0.000597718,0.000597718,0.000597718
16,197.107,0.90806,1.23041,1.12618,0.57632,0.45103,0.41217,0.27948,1.13138,1.93987,1.28982,0.000561055,0.000561055,0.000561055
17,209.385,0.88689,1.16171,1.11502,0.41808,0.46279,0.41947,0.2945,1.10619,1.74008,1.24619,0.000524392,0.000524392,0.000524392
18,221.675,0.89552,1.18476,1.1069,0.42507,0.44491,0.40016,0.26607,1.14739,1.77953,1.26172,0.000487729,0.000487729,0.000487729
19,234.276,0.88071,1.10781,1.11508,0.56238,0.49785,0.50326,0.34178,1.10328,1.55248,1.22709,0.000451066,0.000451066,0.000451066
20,246.555,0.88843,1.02748,1.09662,0.52767,0.52738,0.48719,0.34613,1.03958,1.76823,1.16585,0.000414403,0.000414403,0.000414403
21,263.361,0.80566,1.15348,1.04441,0.53437,0.51342,0.48597,0.33525,1.08776,1.96722,1.1964,0.00037774,0.00037774,0.00037774
22,275.471,0.75639,1.00423,1.0161,0.58558,0.54596,0.50868,0.37122,1.02306,1.80811,1.15537,0.000341077,0.000341077,0.000341077
23,287.616,0.7446,0.97684,1.01989,0.59459,0.53307,0.56292,0.39923,1.10933,1.67507,1.21351,0.000304414,0.000304414,0.000304414
24,299.841,0.69652,0.9086,0.99105,0.56392,0.54369,0.50595,0.37063,1.04543,1.6231,1.17091,0.000267751,0.000267751,0.000267751
25,311.489,0.70037,0.88831,0.97326,0.63051,0.52705,0.58429,0.4251,1.03632,1.61719,1.15009,0.000231088,0.000231088,0.000231088
26,323.824,0.68491,0.84307,0.98686,0.66283,0.59592,0.6332,0.45913,0.99814,1.28719,1.11891,0.000194425,0.000194425,0.000194425
27,335.539,0.67188,0.85909,0.95461,0.68381,0.57901,0.63645,0.47229,0.96801,1.2613,1.11092,0.000157762,0.000157762,0.000157762
28,346.921,0.65107,0.77447,0.95524,0.65083,0.63531,0.66543,0.49295,0.97043,1.19961,1.10597,0.000121099,0.000121099,0.000121099
29,358.97,0.62017,0.722,0.94975,0.65994,0.6592,0.67408,0.49827,0.96548,1.1702,1.10548,8.4436e-05,8.4436e-05,8.4436e-05
30,370.842,0.61661,0.70339,0.94027,0.70063,0.6614,0.68744,0.51155,0.96512,1.15205,1.10297,4.7773e-05,4.7773e-05,4.7773e-05
